glove-twitter-25,husband,wife,father,mother,son,daughter,brother,sister,uncle,aunt,niece,nephew,grandmother,grandfather,acquaintance,ally,associate,colleague,counterpart,fellow,neighbor,patriot,confidant,companion,partner,supporter,member,follower,emigrant,foreigner,intruder,settler,stranger,visitor,vagrant,opposition,rival,opponent,adversary,competitor,invader,occupier,arab,beggar,blacks,crippled,disabled,jew,mexican,unemployed,native,elderly,indian,woman,chinese,pauper,enemy,villain,crook,delinquent,murderer,robber,thief,deserter,traitor,convict,criminal,felon,offender,scoundrel,animal,ape,bird,elephant,chicken,cow,dog,fish,pig,shark,bear,snake,monkey,lion,nature,forest,lake,mountain,ocean,reef,river,tree,sea,beach,island,coast,earth,planet
care,0.7875345,0.78583103,0.7650016,0.808859,0.30235273,0.6962608,0.78999513,0.765244,0.6640709,0.6400471,0.53800625,0.5639394,0.56462276,0.45773125,0.43471768,0.5645991,0.7415708,0.5077471,0.21515387,0.67899704,0.6396734,0.4339258,0.1914951,0.54520285,0.8579638,0.5108737,0.6361684,0.5185371,NA,0.44678527,0.057472765,0.12723699,0.76505834,0.36055145,0.0075978003,0.46204486,0.4167759,0.49786988,0.15962829,0.38917768,-0.0937188,-0.00039294205,0.5147727,0.3211389,0.5122841,0.38386375,0.5692564,0.5990533,0.6199697,0.55933076,0.5533315,0.6163547,0.5999026,0.8194233,0.66981304,0.03489572,0.7141925,0.3251106,0.3584539,0.22763519,0.45481145,0.28190368,0.53879935,-0.060562592,0.41783097,0.310021,0.56515723,0.33741578,0.3251546,-0.056756437,0.60726416,0.44558042,0.6296345,0.47475076,0.5397809,0.6878387,0.71912193,0.63113135,0.58848596,0.42693692,0.70792514,0.4801833,0.5739048,0.5262352,0.63668185,0.45848686,0.4552049,0.48827612,0.5478758,0.28590843,0.3779262,0.55911964,0.47212407,0.52137846,0.4323682,0.5259892,0.6758937,0.672301
cares,0.7652812,0.7731381,0.77554613,0.80748415,0.3050473,0.72808486,0.7886006,0.7850788,0.6592861,0.6638926,0.5954668,0.63552636,0.6429984,0.5740445,0.37825894,0.7157162,0.5837971,0.5389669,0.3537035,0.65428543,0.68024737,0.4377228,0.30087844,0.47379714,0.66498286,0.3946009,0.47483814,0.34850028,NA,0.5693592,0.22789763,0.10289256,0.8039392,0.25658873,0.059031248,0.44369027,0.29451326,0.6244575,0.24700794,0.43045205,0.052432388,0.10430295,0.33006006,0.405647,0.60567325,0.5115263,0.5640855,0.46315062,0.6137291,0.5519128,0.5244325,0.56148475,0.5391043,0.7996547,0.5339198,0.10434959,0.735282,0.45396125,0.46280566,0.2498404,0.55674595,0.34854925,0.6125603,0.026563322,0.5728208,0.45281777,0.57674193,0.42509678,0.34657955,0.1405496,0.5130917,0.20613766,0.5985473,0.48548645,0.39677504,0.5574102,0.6612196,0.547362,0.5676716,0.44375378,0.61376745,0.5240203,0.55662155,0.4368503,0.5770106,0.4229459,0.41303596,0.39780012,0.57190543,0.22406797,0.32746047,0.48555413,0.35470772,0.41109726,0.32225767,0.49198622,0.6585638,0.5518327
cared,0.62802327,0.59555954,0.64705676,0.6156788,0.1953207,0.58865803,0.57075346,0.58763313,0.5070774,0.5304337,0.4631717,0.5070015,0.5740591,0.5676201,0.451448,0.561615,0.40910754,0.48527753,0.36463904,0.48432672,0.51966083,0.29251778,0.39663947,0.3586648,0.5069062,0.23590969,0.29733396,0.19807336,NA,0.5489857,0.2492966,0.08587451,0.6573383,0.17998284,0.0701603,0.37547988,0.17240025,0.5967474,0.36438873,0.30792642,0.08489021,0.17558545,0.14095497,0.42603263,0.4970355,0.5036349,0.49043387,0.3904615,0.37309498,0.537005,0.36303067,0.4909064,0.36112875,0.6241657,0.35465202,0.101106934,0.6600291,0.42652354,0.41755387,0.1573407,0.49801943,0.28600332,0.46316445,0.074945085,0.52521914,0.45080796,0.3896212,0.35755128,0.33360395,0.26480213,0.2228874,0.12704813,0.3935441,0.30597275,0.17525247,0.35435855,0.41186556,0.34376928,0.32819158,0.31339964,0.38814765,0.38217568,0.30197808,0.20731163,0.34853682,0.2801198,0.27807564,0.25146174,0.4272187,0.07920709,0.15497465,0.3633197,0.14039168,0.2312021,0.16383626,0.32062516,0.59158075,0.43821064
caring,0.7369048,0.6626869,0.649538,0.68384093,0.1827033,0.61111164,0.5880092,0.6428146,0.5178674,0.5524985,0.5455446,0.50167197,0.5328952,0.45304766,0.58518237,0.51705194,0.6088458,0.5130944,0.29593512,0.6690654,0.55017304,0.2795733,0.45532635,0.5285721,0.7748079,0.46637934,0.534717,0.3844369,NA,0.5754207,0.046488047,0.074565835,0.7992063,0.34591398,0.023661586,0.3836863,0.19642448,0.4621405,0.40278468,0.3774945,-0.23207465,0.14615123,0.35394952,0.36053792,0.3982634,0.43578535,0.5221786,0.63314,0.4236042,0.5326339,0.41182876,0.64163125,0.43371686,0.7291094,0.45618725,0.13917908,0.659227,0.37566745,0.35621968,0.2663243,0.3569194,0.14431097,0.32074264,0.014858552,0.39218754,0.23799318,0.35289365,0.29873216,0.25942293,0.06750979,0.37673724,0.3197707,0.38278604,0.34475335,0.2594051,0.52492607,0.4946583,0.37175044,0.39957172,0.19228242,0.53493565,0.3074302,0.38253686,0.40773258,0.67276627,0.29631555,0.36140162,0.26768824,0.4546347,0.116357125,0.12130244,0.42370018,0.24024934,0.3651711,0.25310928,0.31840283,0.59641397,0.5987973
help,0.70879066,0.7137644,0.72346276,0.73528737,0.2658863,0.6534531,0.73591286,0.6951984,0.58812,0.5799167,0.47130856,0.50596064,0.5122455,0.40621492,0.30916354,0.5984158,0.6581186,0.4760413,0.20152237,0.6374651,0.5548541,0.45394537,0.07886839,0.5029868,0.81226116,0.49206337,0.6109781,0.5916934,NA,0.3275347,0.04019055,0.14955586,0.67888576,0.3836835,-0.011458215,0.47274584,0.38613623,0.4617433,0.05244673,0.41292423,0.04230028,-0.0329647,0.49447817,0.24656112,0.51767665,0.28972077,0.55312324,0.35116982,0.56495786,0.5144874,0.5777362,0.5525346,0.589798,0.7449532,0.68211293,-0.024982039,0.63248736,0.29547107,0.20646398,0.14312322,0.40530446,0.2464971,0.5354661,-0.08267143,0.32934728,0.32983726,0.5193334,0.27305976,0.29224005,-0.06411398,0.5800795,0.247474,0.60978884,0.48573354,0.5348538,0.51498836,0.68501914,0.59852517,0.528134,0.43065655,0.66411775,0.3884293,0.52605593,0.51972836,0.62088704,0.49533138,0.44228876,0.5110099,0.5411503,0.3073216,0.3589626,0.5670727,0.4330461,0.53445846,0.506422,0.58056694,0.6966809,0.61861515
helps,0.5927938,0.5812797,0.6437351,0.6295002,0.04691785,0.546844,0.55646354,0.5220867,0.4413549,0.4663423,0.33286527,0.3903028,0.5145307,0.44759583,0.46411222,0.48576757,0.713217,0.4982309,0.41095823,0.5735564,0.5340844,0.5082719,0.3182211,0.66797185,0.73337984,0.33778208,0.38297528,0.27106032,NA,0.43638343,0.18162091,0.36105952,0.5932538,0.4992662,0.28272352,0.50793415,0.39700666,0.589353,0.35133228,0.5850882,0.22266993,0.23010272,0.31084794,0.43102857,0.5739738,0.494189,0.5822228,0.28245217,0.528684,0.6090472,0.6139619,0.6380432,0.52440864,0.70726407,0.58464646,0.17148651,0.72474056,0.3612742,0.41940212,0.41707972,0.51004857,0.4028359,0.6455404,0.18995823,0.38801697,0.45731044,0.56507534,0.40041026,0.40214247,0.17111297,0.5754649,0.035513043,0.5274009,0.5312522,0.50038415,0.52531475,0.6177476,0.6212712,0.5411379,0.49749961,0.6070519,0.47328773,0.4829482,0.48567638,0.66643673,0.5840826,0.4782534,0.584637,0.54179937,0.45000762,0.36445674,0.58338386,0.3639491,0.47199088,0.47790387,0.54776645,0.6725266,0.60257846
helping,0.74863297,0.7317243,0.7509773,0.73394126,0.121754214,0.7180317,0.71509373,0.6882355,0.61833215,0.66179055,0.5579332,0.59515405,0.653361,0.5877093,0.50034636,0.6451446,0.75649273,0.64704144,0.41904488,0.75866157,0.64164406,0.5459164,0.37786815,0.6038981,0.7993242,0.46091563,0.53645885,0.41458443,NA,0.4851523,0.21839836,0.3533905,0.6951282,0.54358757,0.19727315,0.5486832,0.412648,0.5477043,0.29364792,0.50220084,0.14455493,0.24241495,0.41601208,0.44967067,0.6166247,0.5257099,0.6938372,0.37082082,0.63808626,0.751246,0.62982684,0.75878644,0.6244693,0.75688,0.6550196,0.1487237,0.6631404,0.3827417,0.4129495,0.43896228,0.50835407,0.36956698,0.5215131,0.19640078,0.43852913,0.47302946,0.5427817,0.49998367,0.45154417,0.17793155,0.53044975,0.07884034,0.48746568,0.51684,0.48898944,0.50119895,0.65405023,0.554835,0.5263021,0.408709,0.624056,0.3813798,0.4622415,0.46747732,0.601215,0.5421852,0.5084615,0.5191431,0.51911175,0.39275688,0.3486631,0.5746771,0.33415502,0.5629492,0.48802775,0.59788543,0.63868046,0.5809131
helped,0.7676948,0.7615998,0.8056229,0.7336453,0.18593118,0.7549331,0.69331616,0.6822511,0.6484577,0.6756936,0.55634487,0.6184493,0.69358724,0.66231465,0.528207,0.6548032,0.6894712,0.68036205,0.47039756,0.6590791,0.63838595,0.531535,0.39555743,0.6032434,0.77506363,0.4687086,0.52920127,0.41998276,NA,0.50212735,0.28752434,0.35188627,0.6700279,0.52899593,0.21158458,0.5583648,0.38622096,0.6336841,0.35862854,0.58123165,0.27423912,0.2556414,0.32653636,0.50930804,0.592488,0.48790005,0.6590194,0.28178063,0.5667478,0.66235787,0.60820943,0.6596778,0.59689724,0.77764463,0.63222706,0.18583371,0.6977961,0.46022156,0.44354925,0.32298467,0.5838468,0.49506438,0.66313875,0.23537017,0.47330427,0.5795995,0.52590966,0.47689027,0.45985147,0.2516005,0.47796333,0.045478705,0.5406514,0.548797,0.47495326,0.45100036,0.6456268,0.5776892,0.47657955,0.48687217,0.6257642,0.4483777,0.4842606,0.49086407,0.56424814,0.55530393,0.49897987,0.54528,0.5594888,0.38482368,0.36889794,0.5856247,0.33349696,0.4964402,0.5014922,0.5887345,0.7115587,0.565515
donate,0.55354816,0.57029766,0.5968062,0.5665586,0.12863061,0.53979087,0.53246623,0.5006589,0.41035837,0.46701503,0.39128122,0.42425904,0.49806628,0.44139665,0.3292154,0.5114705,0.5364311,0.45679203,0.37840155,0.58663887,0.48692146,0.5089274,0.15082508,0.46500537,0.6175222,0.36434793,0.39419875,0.5202326,NA,0.19416176,0.18200964,0.3282976,0.43119657,0.5359014,0.106462464,0.4947946,0.3758893,0.46838468,0.14103918,0.46936387,0.2222504,0.10505565,0.32925475,0.32138288,0.50125396,0.3665842,0.61637324,0.07450473,0.51058084,0.583383,0.51889825,0.5948895,0.56120926,0.5773424,0.5794952,-0.08524506,0.50428754,0.14955766,0.19761012,0.25845933,0.37122118,0.33257914,0.44287264,0.11282585,0.27987334,0.45814484,0.37199157,0.31990546,0.36682177,0.21808295,0.47118357,-0.07032785,0.42965057,0.5007982,0.45777434,0.33869419,0.5430268,0.49437624,0.45058188,0.36474493,0.5255898,0.2981987,0.3885495,0.34792268,0.42409673,0.43069944,0.3595403,0.44897905,0.35423,0.3937116,0.31218302,0.48736447,0.32589567,0.43053424,0.40255088,0.529912,0.53971416,0.3833923
donates,0.47070047,0.49987236,0.5957928,0.45180488,0.06379991,0.55143374,0.35538292,0.3655992,0.370167,0.4704553,0.37352675,0.43131334,0.5970451,0.64069486,0.47912356,0.5012274,0.46711102,0.60358113,0.67067724,0.47711182,0.45247436,0.5701783,0.44691178,0.560364,0.4322008,0.26451242,0.28091463,0.23144385,NA,0.29605874,0.43170387,0.5254062,0.25413784,0.6149855,0.38991335,0.49319425,0.31685007,0.5121964,0.4463124,0.61782104,0.4269705,0.40198758,0.12103228,0.5152723,0.4522908,0.37422583,0.55641603,-0.10727576,0.4133607,0.55423415,0.52105117,0.51669306,0.51211286,0.49111864,0.42700756,0.18470304,0.4574939,0.28797895,0.41947758,0.41883412,0.4159946,0.55088866,0.52936953,0.43925482,0.36881682,0.5960512,0.3025413,0.42527732,0.48019165,0.53384286,0.29535782,-0.32739863,0.25614834,0.4770311,0.2994523,0.20921546,0.35752028,0.3640129,0.27185664,0.29658464,0.36229977,0.29720175,0.27917373,0.25818014,0.2890531,0.39470658,0.29903606,0.38613954,0.27774212,0.42123654,0.2614633,0.4066597,0.17312068,0.22026797,0.32129455,0.39498422,0.4228734,0.2310564
donating,0.5156036,0.5277761,0.5496276,0.48341838,0.051301252,0.542895,0.46313205,0.43539977,0.3952223,0.47347462,0.40528494,0.45288685,0.52107114,0.508652,0.34962142,0.5041516,0.5252717,0.5335761,0.4764043,0.56727004,0.43166357,0.4822077,0.3304261,0.4457044,0.5629718,0.31870842,0.32025728,0.41645283,NA,0.1866783,0.28900993,0.38588277,0.3818385,0.57386506,0.20338677,0.4416561,0.31568164,0.47440007,0.2798282,0.4901861,0.24740838,0.2849124,0.18719779,0.37005976,0.508054,0.41861352,0.6087222,0.018498987,0.4559419,0.7045533,0.46455395,0.61982936,0.48226738,0.4990392,0.468902,0.09674023,0.4126816,0.21145755,0.34472778,0.4798095,0.33584818,0.34231523,0.37225556,0.25471103,0.30870587,0.43942872,0.3263585,0.44538605,0.42675072,0.3591863,0.32370767,-0.25558537,0.27234542,0.41806448,0.3780431,0.25202385,0.4381444,0.3764973,0.3319246,0.22644489,0.40180063,0.21871419,0.26719338,0.24732144,0.3281873,0.35961556,0.31244737,0.3508063,0.26933712,0.3151713,0.20412353,0.43433648,0.16166356,0.3585386,0.3139291,0.4100011,0.3856572,0.24577238
